iShares Russell 2000 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"291,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMS","MAXIMUS INC","Industrials","Equity","137,314,410.17","0.18","137,314,410.17","1,402,169.00","97.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","137,116,868.70","0.18","137,116,868.70","3,436,513.00","39.90","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","136,635,440.35","0.17","136,635,440.35","808,733.00","168.95","United States","NASDAQ","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","136,322,242.76","0.17","136,322,242.76","3,007,993.00","45.32","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","135,821,737.15","0.17","135,821,737.15","4,012,459.00","33.85","United States","NASDAQ","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","135,333,687.52","0.17","135,333,687.52","1,241,138.00","109.04","United States","NASDAQ","USD","1.00","USD","-"
"CVCO","CAVCO INDUSTRIES INC","Consumer Discretionary","Equity","134,407,112.40","0.17","134,407,112.40","192,726.00","697.40","United States","NASDAQ","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","134,159,265.28","0.17","134,159,265.28","1,830,776.00","73.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOSE","EOS ENERGY ENTERPRISES INC CLASS A","Industrials","Equity","134,071,035.23","0.17","134,071,035.23","7,648,091.00","17.53","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","133,994,941.55","0.17","133,994,941.55","1,216,477.00","110.15","United States","NASDAQ","USD","1.00","USD","-"
"SKY","CHAMPION HOMES INC","Consumer Discretionary","Equity","133,904,179.00","0.17","133,904,179.00","1,402,138.00","95.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS INC","Health Care","Equity","133,760,072.46","0.17","133,760,072.46","2,414,006.00","55.41","United States","NASDAQ","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","133,576,680.51","0.17","133,576,680.51","810,981.00","164.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSW","CSW INDUSTRIALS INC","Industrials","Equity","133,211,268.96","0.17","133,211,268.96","403,536.00","330.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","132,612,051.51","0.17","132,612,051.51","1,085,827.00","122.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHR","ARCHER AVIATION INC CLASS A","Industrials","Equity","132,539,974.49","0.17","132,539,974.49","15,648,167.00","8.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","132,477,814.20","0.17","132,477,814.20","1,108,230.00","119.54","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","132,209,711.40","0.17","132,209,711.40","332,670.00","397.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","131,086,992.40","0.17","131,086,992.40","7,202,582.00","18.20","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","131,075,690.81","0.17","131,075,690.81","1,042,849.00","125.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STEP","STEPSTONE GROUP INC CLASS A","Financials","Equity","131,033,743.20","0.17","131,033,743.20","1,745,720.00","75.06","United States","NASDAQ","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","130,902,349.60","0.17","130,902,349.60","1,720,136.00","76.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","130,233,603.76","0.17","130,233,603.76","3,054,259.00","42.64","United States","NASDAQ","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","129,965,388.21","0.17","129,965,388.21","1,351,413.00","96.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","129,948,693.90","0.17","129,948,693.90","1,165,982.00","111.45","United States","NASDAQ","USD","1.00","USD","-"
"IRTC","IRHYTHM HOLDINGS","Health Care","Equity","129,451,895.85","0.17","129,451,895.85","791,029.00","163.65","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","129,364,742.25","0.17","129,364,742.25","5,493,195.00","23.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","129,018,757.29","0.16","129,018,757.29","1,291,867.00","99.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRCY","MERCURY SYSTEMS INC","Industrials","Equity","128,476,465.41","0.16","128,476,465.41","1,290,313.00","99.57","United States","NASDAQ","USD","1.00","USD","-"
"LMND","LEMONADE INC","Financials","Equity","128,149,004.72","0.16","128,149,004.72","1,501,277.00","85.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNR","CORE NATURAL RESOURCES INC","Energy","Equity","127,934,200.64","0.16","127,934,200.64","1,261,181.00","101.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UUUU","ENERGY FUELS INC","Energy","Equity","127,398,635.16","0.16","127,398,635.16","5,657,133.00","22.52","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"LEU","CENTRUS ENERGY CORP CLASS A","Energy","Equity","127,033,242.70","0.16","127,033,242.70","417,955.00","303.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","125,824,447.75","0.16","125,824,447.75","893,957.00","140.75","United States","NASDAQ","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","125,771,639.73","0.16","125,771,639.73","1,518,431.00","82.83","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","125,231,547.00","0.16","125,231,547.00","736,050.00","170.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
